Tupi,Tradução,Citação
Marã e'ipe abá te'õ suí onheangûabo o nhemombe'ue'yma mokûá-puku potare'yma?,"Como diz alguém, tendo medo da morte, não querendo fazer estar por longo tempo sua falta de confissão?","Ar., Cat., 115"
Oporoerokyba'epûera nd'e'ikatuî omendá o emierokûera resé...,O que batizou não pode casar-se com aquela que batizou.,"Ar., Cat., 129"
"Aîpó n'i papasabi, kûarasymo oîké îepémo!","Isso não tem meio de se contar, ainda que o sol se pusesse!","Anch., Teatro, 38"
Ererobîápe abá remo'ema?,Acreditaste nas mentiras de alguém?,"Ar., Cat., 108v"
"S. Sebastião 'ara, se'õagûera, cristãos oîmoeté oîemotupana...","O dia de São Sebastião, em que ele morreu, os cristãos comemoram para se santificarem.","Ar., Cat., 3v"
Erema'ẽ-nhemomotarype amõ rapopé reséno?,Olhaste também com desejo para a vagina de alguma?,"Anch., Doutr. Cristã, II, 89"
Ereîkuá ranhẽ meémo emonã nde rekorama...,Deverias ter sabido antes o que fazias.,"Ar., Cat., 57v"
Aîopyk xe nhe'enga.,Calei minhas palavras.,"VLB, I, 19"
Xe abangatu.,Eu sou gentil.,"VLB, I, 148"
Marãngatupakó... xe agûasá rekóû ri...?,Como será que estão minhas amantes?,"Ar., Cat., 155v"
marana tĩapyra,"a vanguarda da guerra, o que vai à frente dos outros na guerra (para obter informações do campo inimigo)","VLB, II, 141"
...Sekobé abé okaî aûîeramanhẽ.,Também queima vivo para sempre.,"Ar., Cat., 79v"
Aîpó îandé rekó oîoirundyk mondykaba îabi'õ t'amombe'u apysagûé.,Cada um daqueles quatro destinos últimos de nossa vida hei de anunciar detidamente.,"Ar., Cat., 154v"
Xe resaarũaíb.,Eu sou travessa.,"VLB, I, 104"
T'oroîase'o memẽ...,Choremos sempre.,"Anch., Teatro, 122"
Kó aîkó sygepûera t'arasó i nhy'ãbebuîa abé xe raîxó-gûaîbĩ supé.,Aqui estou para levar seu ventre e também seus pulmões para minha sogra velha.,"Anch., Teatro, 66; Castilho, Nomes, 35"
Nd'e'i te'e kunumĩgûasu... oîkébo memẽ kagûápe...,Por isso mesmo os moços entram sempre no lugar de beber cauim.,"Anch., Teatro, 34"
"O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?","Ergueu-se com as feridas de suas mãos, de seus pés e de seu flanco?","Ar., Cat., 44v"
"Marataûãme tekoara ogûerobîá xe nhe'enga, ...xe pópe o 'anga me'enga.","Os que estão em Maratauá acreditam em minhas palavras, entregando suas almas em minhas mãos.","Anch., Teatro, 12"
...Tekokatu repenhandápe peîkóbo.,Vivendo para ir ao encontro da virtude.,"Ar., Cat., 284, 1686"
Asó serãne ra'e?,Dizem que fui?,"Anch., Arte, 57v"
Xe kunusãî.,Eu sou modesto.,"VLB, II, 40"
Ang é.,Isto pela primeira vez.,"VLB, II, 51"
"Semo'ẽ, oîobaúpa.","Eles mentem, um de cara para o outro.","Anch., Teatro, 164"
"...Oporaseî pysaré, oîemopaîeangaípa, tatápe o só îanondé.","Dançaram a noite toda, fazendo feitiçarias, antes de irem para o inferno.","Anch., Teatro, 14"
...I mendarymana kuaba potá.,Querendo conhecer seus casamentos antigos.,"Ar., Cat., 94v"
"Tupã rerobîara mombe'u posykyîee'yma resé, angaîpaba São Mateus... îukáû.","Por não recear proclamar a fé em Deus, os pecadores mataram São Mateus.","Ar., Cat., 7v"
"Nd'e'i te'e a'ereme Îudeus sykyîatãmo, i pira abé reru...","Por isso mesmo, então, os judeus a puxaram fortemente, fazendo vir junto a pele dele também.","Ar., Cat., 62"
i apytera,o miolo dele,"VLB, II, 37"
Aîepyaobok.,Descalcei-me.,"VLB, I, 96"
...O kera pupé o pupukûera morypa...,Deleitando-se com sua polução em seu sono.,"Ar., Cat., 72"
nde nhe'enga,tuas palavras,"Anch., Teatro, 44"
Onheŷnhang umã sesé... gûaîbĩ tuîba'e abé...,Já se juntaram por causa disso as velhas e os velhos.,"Anch., Teatro, 24"
Oîoaûsu-katupe amẽ oîopopysykyba'epûera?,Devem amar-se muito os que se casaram um com o outro?,"Ar., Cat., 95"
"...Gûemimbo'e pyri o karûápe, miapé... moîebyû gûetéramo...","Ao comer junto dos seus discípulos, o pão devolveu como seu corpo. (Ar., Cat., 5) ...Kapi'ĩ sosé kó tuî, tapi'irusu karûápe. - Eis que sobre o capim ele está deitado, no lugar em que a vaca come.","Anch., Poemas, 164"
Ybaka porá-tene... sory-porang...,"Os habitantes do céu, mais ainda, estão bem felizes.","Ar., Cat., 123, 1686"
Asokaîmonhang.,Fiz gaiola para eles.,"VLB, I, 146"
Esekyî-atã!,Puxa-o rijamente!,"VLB, II, 106"
Osokendab a'e karamemûã itagûasu pupé.,Fecharam aquele túmulo com uma pedra grande.,"Ar., Cat., 64v"
Yby opá ybytinga ybaka suí o'aryba'e i aso'iûne.,Todas as nuvens que caem do céu cobrirão a terra.,"Ar., Cat., 7"
Iesu Nazareno orosekar...,Procuramos Jesus Nazareno.,"Ar., Cat., 54"
Agûapyk gûitena.,Estou-me sentando.,"VLB, I, 45"
Xe rembykãî gûixóbo.,Eu me escafedo ao ir.,"VLB, I, 122"
Ixé supé,a mim (ou para mim).,"VLB, II, 64"
Tekate'yma robaîara tekate'yme'yma.,O oposto da avareza é a liberalidade.,"Ar., Cat., 18"
"Eresenõî tenhẽpe Tupã rera, ...nde îuraragûaîamo nhẽ, îuraragûaîamo sekó kuapa?","Invocaste em vão o nome de Deus, mentindo, sabendo ser mentira?","Ar., Cat., 99v"
xe rapixara,meu parceiro,"VLB, II, 65"
Xe potaba nde!,Meu quinhão és tu!,"Anch., Teatro, 76"
...Og o'o remimotara rupi oîkó-potare'yma.,Não querendo proceder segundo a vontade de sua própria carne.,"Ar., Cat., 27v"
ty-apogûasu,"água cheia grande, maré alta","VLB, I, 24"
Ekûãî îá reru.,Vai para trazer um pouco dela.,"VLB, I, 154"
membyre'yma,"a sem-filhos, a fêmea estéril","VLB, II, 31"
Opá ahẽ xe subi.,Completamente ele me revistou.,"VLB, I, 123"
Anosẽ-sem.,Vivo retirando-as [quando são muitas coisas].,"VLB, II, 129"
Ro'y îabi'õ onhemombe'ue'ymba'e.,O que não se confessa a cada ano.,"Ar., Cat., 76"
Mbype erebasẽ i xupé?,Chegaste perto junto a eles? (ou Achaste-os por perto?),"Anch., Teatro, 46"
...T'osykyîé umẽ Îesu Cristo... mombegûabo.,Que não tenha medo de anunciar a Jesus Cristo.,"Ar., Cat., 81"
Xe reîmbaba tapi'ira,Minha vaca que crio.,"Anch., Arte, 2v"
...Ka'a-embe'ype osóbo...,Indo para a borda da floresta.,"Anch., Teatro, 150"
Xe ate'ẽ.,Eu sou um aleijado.,"VLB, I, 85"
karamosé é,"outro dia, já não agora","VLB, II, 61"
...Kûesé bé mba'e n'a'uî.,Desde ontem não como nada.,"Anch., Poemas, 150"
"I mongaraibypyretá oîepegûasu îasûá, i îogûerekó anhẽ.","Os cristãos como uma unidade, a consorciação deles.","Ar., Cat., 49v"
"Aîeby benhẽ, gûixóbo.","Indo, voltei atrás.","VLB, I, 43"
'Ara i momba'etepyra pupé missa rendupa...,Ouvindo missa nos dias que devem ser honrados.,"Ar., Cat., 75v"
"Abápe kori xe îá? Erĩ, aani!","Quem, hoje, é como eu? Irra, ninguém!","Anch., Teatro, 132"
Aîakab.,Gritei com ele.,"VLB, I, 59; D'Evreux, Viagem, 146"
...'Ara i 'aragûera pîasaba pupé tatá i apyrasabapé 'îaba îaîmondyk...,"No dia de guarda do nascimento dele, acendemos a fogueira chamada “caminho do salto”","Ar., Cat., 6"
"...Mba'emirĩ tiruã, abá rekoagûerĩ oîenosem a'epene.","Nem sequer uma pequena coisa, nem um só pequeno ato das pessoas omitir-se-á, então.","Ar., Cat., 161v"
itangapẽ-mbora,"marca de espada, sinal de ferimento com espada","Anch., Arte, 31v"
Xe pysy-potar-y bé serã kó gûyragûasu...,Talvez queira agarrar-me novamente este pássaro grande...,"Anch., Teatro, 58"
Amõaé tubixá-katu nde resé oîerobîá.,Aqueles outros grandes chefes em ti confiam.,"Anch., Poemas, 104"
Emombe'u nde retama ixébe.,Descreve tua terra para mim.,"Léry, Histoire, 360"
...o moîangara tekatu...,seu criador de verdade,"Ar., Cat., 88v"
Nde arũaípe nde rapixara 'arybo eîupa?,"Tu foste chocarreira, estando deitada sobre teu próximo?","Ar., Cat., 235"
A'e ipó asetobapé-pyténe...,A ele eu beijarei suas faces...,"Ar., Cat., 54"
u'ubae'ẽ pokasaba,prensa de cana-de-açúcar,"VLB, II, 85"
Rumby xe ruba obasema.,"Eis que, enfim, chega meu pai.","VLB, I, 109"
nde raûsuba poepyka...,retribuindo o amor a ti,"Valente, Cantigas, VI, in Ar., Cat., 1618"
Xe ybyri tuî.,Jazia ao lado de mim.,"VLB, I, 106"
Oré atyr.,Nós estamos amontoados.,"VLB, II, 41"
"Ne'ĩ, t'asó nde irũmo...","Eia, hei de ir contigo.","Anch., Teatro, 64"
Moraseîa é i katu...,A dança é que é boa.,"Anch., Teatro, 6"
E'ikatu ipó senonhẽndarama supé é...,Pode certamente (contá-lo) para quem o repreenderá.,"Ar., Cat., 73v"
"Oîepé nhõngatu erimba'e karaibebé Tupã nhe'enga abyû biã, sesé nhõ Tupã i moingóû Anhangamo...","Embora tão somente uma vez uns anjos tenham transgredido a palavra de Deus, por causa disso, somente, Deus os fez ser diabos.","Ar., Cat., 112"
Xe aysó.,Eu sou bem feito.,"VLB, I, 54"
...Tupã resé oîeerekomemûãmo...,Ficando de mal com Deus.,"Anch., Doutr. Cristã, I, 163"
...Tekorama mombegûabo.,Anunciando os acontecimentos futuros.,"Ar., Cat., 159v"
...Sesé Tupã resé bé o îerobîasápe...,Por ter ele esperança nela e em Deus.,"Ar., Cat., 352"
...I xuí amõ resé omendá...,Casando-se com alguém que não seja ele.,"Ar., Cat., 280, 1686"
Oú tenhẽ xe pe'abo...,Vêm em vão para me afastar.,"Anch., Teatro, 8"
Aîmopor xe nhe'enga.,Cumpri minha palavra.,"VLB, I, 78"
Penhemoma'enduá Anhanga ratápe i porarapyra resé... ta pe angaîpab umẽngatutenhẽ...,"Lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis.","Ar., Cat., 156v"
"T'anhemombe'une kori bé, te'õ xe resapy'a e'ymebé ká...","Hei de me confessar ainda hoje, antes de me surpreender a morte.","Ar., Cat., 76v"
yby-oka,casa de terra,"Anch., Teatro, 184, 2006"
...Xe ratá nde kaîaûama.,Meu fogo é o lugar em que queimarás.,"Anch., Teatro, 90"
Esendu.,Ouve.,"Léry, Histoire, 364"
Aîpe'a umûã emonã xe angaîpaba.,Já afastei dessa maneira minhas maldades.,"VLB, II, 129"
'Ypa'ũgûasu,Ilha Grande (antigo nome de ilha das costas do Rio de Janeiro),"VLB, II, 9"
...opá 'ypa'ũmendûara...,todos os que estão nas ilhas,"Anch., Teatro, 12"
O ati'yba ri kurusá osupi.,No seu próprio ombro levanta a cruz.,"Anch., Poemas, 122"
Oîmombe'u pakatupe amẽ asé o angaîpagûera?,"A gente confessa totalmente, de costume, seus próprios pecados?","Ar., Cat., 90"
Ixé Saûîaetá. Serapûã xe renõîndaba.,Eu sou Sauiaetá. Famoso é meu nome.,"Anch., Poemas, 156"
Marãîasûaramo turi mã!,"Ah, oxalá ele viesse!","VLB, II, 61"
I tekokuabe'ymba'e motekokuaba.,Instruir os que são ignorantes.,"Ar., Cat., 18v"
itá repoti,escória do ferro,"VLB, I, 123"
"Nd'erékatuî xûé angiré nde remirekó rerobyka, ã tekó-abaíbeté-katureme.",Não poderás doravante juntar-te a tua esposa por ser isso um procedimento muitíssimo inconveniente.,"Anch., Doutr. Cristã, II 94"
"Putunusu porarábo, oroîkotebẽngatu.","Suportando a grande noite, estamos muito aflitos.","Anch., Poemas, 142"
...Emonã kori aîkóne...,Assim hoje procederei.,"Ar., Cat., 99v"
...Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé...,"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume.","Ar., Cat., 159v"
Marãpe Herodes serekó-ukari a'epe?,Como Herodes mandou tratá-lo então?,"Anch., Diál. da Fé, 181"
nde rekó-pysasu,teus atos recentes,"Anch., Doutr. Cristã, II, 78"
"...Oroapy kori, îandu!","Queimo-te hoje, como de costume!","Anch., Teatro, 44"
"“Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?”","Por quê vocês, maíras e perós, quer dizer, franceses e portugueses, vêm de tão longe procurar madeira para se aquecerem?","Léry, Histoire, cap. XIII"
Oropab oromanõmo.,"Morrendo, chegamos ao fim.","Anch., Poemas, 82"
I 'ara renondesaba 'ara îekuakupaba.,O período anterior ao dia dele é dia em que se jejua.,"Ar., Cat., 121"
Asó u'i pûaîa.,Vou para mandar fazer farinha.,"VLB, II, 30"
Marãpe ybŷá serekóû i mondyka potá?,"Que fizeram, querendo aproximá-los?","Ar., Cat., 62v"
...Endé aé ereîekûá xe roka pobu-potá.,"Tu mesmo és causa de teu dano, querendo revirar minha casa.","Anch., Teatro, 42"
Xe repy-mokonhõ'ĩ.,Eu tenho um preço baixinho.,"VLB, I, 51"
...Ogûe'õnama resé nheangerekó n'oîkuabi...,Não conhece a preocupação com sua própria morte.,"Ar., Cat., 155"
Nd'e'i te'e o apixara akakapa...,Por isso mesmo repreendeu a seu companheiro...,"Ar., Cat., 63"
Ta'yrĩ'i-muku.,Ela é fininha e comprida.,"VLB, I, 93"
Marãneme-tepe asé îobasabine?,Mas quando a gente se benzerá?,"Ar., Cat., 21v"
Xe rekó anhẽ nhẽ nakó emonã.,"Eis que minha condição, na verdade, é assim.","VLB, I, 79"
O emitymbûerypy pupé Tupã potá-me'engano.,Dar também o quinhão de Deus naquilo que plantou primeiro.,"Ar., Cat., 17"
Abaré asé rerekoaramo i moingopyra.,O padre que é colocado como guardião da gente.,"Ar., Cat., 94"
'Y tiruã n'arekóî.,Nem mesmo água eu tenho.,"VLB, II, 124"
"Nde nhyrõ i xupé, xe rub-y gûy... !","Perdoa-lhes, ó meu pai!","Ar., Cat., 62v"
o îoupé-upé,uns aos outros (sendo muitos),"VLB, I, 154"
Aîpekãî.,Cutuquei-o.,"VLB, II, 118"
“Osó ipó” a'ea'ub niã ixé.,"Suponho eu que ele tenha ido, de fato.","VLB, I, 87"
"Îandé moingobé, te'õ porarábo...","Fez-nos viver, sofrendo a morte.","Anch., Poemas, 108"
eboûĩ rupi,"por aí, por ali, por esse lugar","VLB, II, 82"
Mbype emondarõ sesé.,Rouba-o aí por perto.,"Anch., Teatro, 148, 2006"
"Aîepyk anhẽ sesé, i anama katu riré...","Vingo-me, de fato, deles, após tornar-se bom seu povo.","Anch., Teatro, 14"
Aîangerasó.,Apavorei-o.,"VLB, II, 66"
Pe atõîa n'oîpotari.,Não querem que vos toquem.,"Anch., Teatro, 54"
I ku'agûasu.,"Ela é muito bojuda (fal. de pipa, de árvore, etc.).","VLB, I, 150"
"Memeté rakó pé o emingûabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki...","Quanto mais um caminhante por um caminho que não conhece se aflige, mais deseja logo ver o dia.","Anch., Doutr. Cristã, II, 79"
Mutu'u resé Tupã îekosu-berame'ĩ...,Deus parece obter o descanso.,"Ar., Cat., 11v"
Eregûatápe nhãîmbiara rupi kunhã resé?,Andaste pelos caminhos de fontes com mulheres?,"Ar., Cat., 234"
Îandé repîaka our!,Veio para nos ver!,"Léry, Histoire, 341"
Xe pokarugûar.,Eu sou hábil.,"VLB, I, 18"
Umãpe Tatapytera? Umãpe Ka'umondá?,Onde (está) Tatapitera? Onde (está) Caumondá?,"Anch., Teatro, 128"
Emogûeb tatá.,Apaga o fogo.,"Léry, Histoire, 367"
Xe posé i keri.,Dormiu comigo.,"VLB, I, 106"
Ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?,"Contaste para as pessoas o mau procedimento de alguém, que somente tu viste?","Ar., Cat., 108"
N'aîkóî sesé ko'yté.,"Não tenho a ver com ele, enfim (isto é, desisti dele).","VLB, I, 99"
A'e aé koba'e katu me'engara re'a...,É ele o que dá o bem desses.,"Ar., Cat., 66"
Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ.,Por nos amar mais do que nossa mãe ama seus próprios filhinhos.,"Ar., Cat., 37"
...Oîkuab i marangatueté.,Conheceu sua autêntica bondade.,"Ar., Cat., 8v"
Xe îeîaî.,Eu sou arredio.,"VLB, I, 106"
...tekotebẽboramo oîkóbo...,estando aflito,"Ar., Cat., 34"
Oîpysó ybyraîoasaba 'arybo...,Estiraram-no sobre a cruz...,"Ar., Cat., 62"
"Aûîé, xe îuká îepé!","Basta, tu me matas!","Anch., Teatro, 76"
i îanypapyxunyba'e,o que está tingido de jenipapo,"VLB, II, 128"
Abá mondarõ osepîakĩba'e...,O que vê um homem furtar sem se importar.,"Ar., Cat., 72v"
Kunhã i puru'aba'e resé opûá...,Batendo numa mulher que está grávida.,"Ar., Cat., 104"
...Cristãos i mongaraibypyra tekokuaparamo Cristo remieîara...,O que Cristo deixa como chefes dos cristãos batizados.,"Ar., Cat., 6-6v"
Opakatu serã sygeapûá-kuîamo i ku'a sorokaba rupi?,Acaso todo o seu intestino caiu pela fissura de sua cintura?,"Ar., Cat., 57v"
Oker okûapa tekotebẽ suí nhẽ.,Estavam dormindo de aflição.,"Ar., Cat., 53"
I nhyrõngatu-potá îandébo...,Quer perdoar muito a nós.,"Anch., Poemas, 160"
"Ygasápe kaûĩ-tuîa, a'e ré, îamomotá...","O cauim transbordante nas igaçabas, depois disso, atrai-os.","Anch., Teatro, 28"
Nde ranhẽ eporandub.,"Pergunta tu, primeiro.","Léry, Histoire, 361"
"Xe rory Ybytyrapé, ybytyrapûá suí.","Eu sou o alegre Ibitirapé, do topo da montanha.","Anch., Poemas, 156"
tĩmbûera,bico de pássaro fora do corpo,"VLB, I, 55"
Mbobype abá aîpoba'e oîaby kunhã resé o nhemomotar'iré...?,Quantas vezes o homem transgride aquele (mandamento) após atrair-se por uma mulher...?,"Ar., Cat., 71v"
"Nde morerekoar xe ri, nde pó gûyrype xe nonga.","Sê tu guardião de mim, sob tuas mãos colocando-me.","Valente, Cantigas, in Ar., Cat., 1618"
Xe rekó-aé arekó.,Tenho meu modo de ser diferente.,"VLB, I, 103"
Aîoîaî.,Caçôo dele.,"VLB, II, 43"
sakãpyra,ponta de galho,"VLB, II, 80"
Xe robá-pu-puk.,Eu tenho o rosto esburacado (com varíola).,"VLB, I, 55"
Nde rorype abá nde abykyreme?,Tu te alegras quando um homem te apalpa?,"Ar., Cat., 234"
Ereîmonhenongype kunhã nde 'arybo sesé eîkóbo?,Fizeste que uma mulher se pusesse sobre ti para fazer sexo com ela?,"Ar., Cat., 234"
Na xe apori.,"Não desisto (teimo, sou importuno).","VLB, II, 10"
Setápe asé nhemongaraíbi?,A gente se batiza muitas vezes?,"Anch., Doutr. Cristã, I, 202"
"I xy, i aso'ikatûabo, oîopîá ro'y suí...","Sua mãe, cobrindo-o bem, defende-o do frio.","Anch., Poemas, 162"
"Kori, nã, îandé rekó îandé moarûapa angá.","Hoje, assim, de modo nenhum nos impedem nossa estada.","Anch., Teatro, 148, 2006"
Nde mondápe mba'e amõ resé...?,Apropriaste-te de alguma coisa?,"Ar., Cat., 107"
Aîporu abá ygara.,Tomei emprestada a canoa do índio.,"VLB, I, 113"
Xe ker-aparar.,Eu caí de sono.,"VLB, I, 63"
Iké xe roka.,Aqui é minha casa.,"VLB, II, 41"
Orokub ikó.,Eis que aqui nós estamos.,"VLB, I, 128"
"I 'anga seté pupé i mondepa bé, Tupã i pe'aû.","Assim que pôs sua alma em seu corpo, Deus a preservou.","Ar., Cat., 9"
Marã e'ipe iîypy?,Como diz o primeiro deles?,"Ar., Cat., 26"
T'oîkó pabẽ ybypesûara nde remimotara rupi...,Que esteja tudo o que está na terra segundo a tua vontade.,"Ar., Cat., 27"
Marã e'ipe asé o py'ape ybaka resé oma'ẽmone?,"Como dirá a gente em seu coração, olhando para o céu?","Ar., Cat., 26"
miîukarambûera,o que seria morto,"Anch., Arte, 19v"
Aûîé ipó!,Muito bem! (consentindo),"VLB, I, 33"
"Akó 'y asé reté moîasuka îabé, akûeîa îabé.","Assim como esta água lava o corpo da gente, aquela também (lava).","Anch., Doutr. Cristã, I, 201"
Aîapé-kytyk.,Breei o casco dele.,"VLB, I, 59"
Anhosen.,Entornei-o.,"VLB, I, 118; II, 142"
'Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo...,A água benta seja o meio de viver de minha alma.,"Ar., Cat., 24v"
"T'akûáne pe renondé, pe manhanamo, ranhẽ.","Hei de ir adiante de vós, como vosso espião, primeiro.","Anch., Teatro, 66"
"Peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba...","Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte.","Ar., Cat., 155v"
T'asendu tenhẽ...,Hei de ouvir em vão...,"Anch., Teatro, 34"
gûabiru rupîara,"armadilha de ratos, ratoeira","VLB, II, 97"
Yby koîpó mba'e amõ gûara...,O que come terra ou outra coisa.,"Ar., Cat., 70"
'Ara pab'iré i moingobeîebyri o pyri serasóbo aûîeramanhẽne.,"Após acabar o mundo, fará voltar a viver (nossos cadáveres), levando-os para junto de si para sempre.","Ar., Cat., 27"
...Sabeypora suí bé oîoapixá-pixapa.,Também por embriaguez ficando a ferirem-se uns aos outros.,"Anch., Teatro, 34"
Ereîkópe kunhã-mendara resé?,Tiveste relações sexuais com uma mulher casada?,"Ar., Cat., 109"
yby'ã-by'ama,barrancos,"VLB, I, 52"
Amanõ-memûã.,Morro subitamente.,"VLB, II, 43"
